ID,agestrat,TOTALscore
215007,24,74
215008,4,8
215009,18,71
215010,24,93
216001,84,185
216002,132,186
216003,144,187
216004,48,140
216005,96,179
216006,66,148
216007,36,109
216008,108,183
216009,84,180
216011,132,189
216012,120,177
216013,132,180
216014,8,33
216015,42,107
216016,96,183
216017,84,172
216018,48,141
216019,18,87
218001,16,65
218003,60,157
218004,48,124
218005,84,169
218006,4,25
218007,24,103
218008,6,18
218009,72,154
218010,20,73
218011,10,36
218012,24,97
218013,8,42
218014,8,34
218015,18,92
218016,6,32
218017,12,54
218018,14,65
218019,20,69
218020,4,17
218021,12,51
218022,4,21
218023,6,21
218024,6,22
218025,4,19
218026,18,77
218027,4,17
218028,18,73
218030,10,35
218031,10,42
218032,18,79
218033,4,17
218034,16,56
218035,16,55
218036,12,60
218037,12,56
219001,78,152
219002,108,180
219003,60,154
219004,84,170
219005,84,175
219006,96,180
219007,72,190
219008,120,187
219009,96,174
219010,66,161
220001,108,182
220002,78,170
220003,42,124
220004,24,75
220005,132,182
220006,22,66
220007,54,124
220008,108,188
220009,84,114
220010,66,141
220011,66,153
220012,60,131
220013,66,153
220015,60,146
220016,48,129
220017,66,157
220018,78,174
220019,96,178
220020,78,162
220021,24,100
220022,24,89
220023,54,149
220024,78,180
220025,108,188
220026,4,14
220027,6,30
220028,96,174
220029,14,47
220030,132,179
220031,144,179
220032,120,179
220033,48,151
220034,132,173
220035,144,189
220036,120,188
220037,72,171
220038,20,89
220039,12,74
220040,28,128
220041,32,87
220042,8,26
220043,28,88
220044,72,158
221001,36,96
221002,18,44
221003,18,55
221004,28,91
221005,72,172
221006,72,149
